n;k1;k2;k3;k4;k5;k6;k7;k8;k9;k10;k11;k12
33;0;0.02;0.04;0.08;0.18;0.5;0.93;0.91;1;1;0.99;1
34;0.01;0.02;0.04;0.08;0.35;0.5;0.93;0.7;1;1;1;1
35;0.01;0.02;0.04;0.07;0.35;0.5;0.81;1;1;1;1;1
36;0;0.02;0.04;0.08;0.29;0.5;0.67;0.91;1;1;1;1
37;0.01;0.02;0.04;0.08;0.42;0.5;0.84;0.7;1;1;1;1
38;0.01;0.02;0.04;0.07;0.18;0.5;0.85;1;1;1;1;1
39;0;0.02;0.04;0.08;0.35;0.5;0.93;0.91;1;1;0.99;1
40;0.01;0.02;0.04;0.08;0.35;0.5;0.93;0.7;1;1;1;1
41;0.01;0.02;0.04;0.07;0.29;0.5;0.81;1;1;1;1;1
42;0;0.02;0.04;0.08;0.42;0.5;0.67;0.91;1;1;1;1
43;0.01;0.02;0.04;0.08;0.18;0.5;0.84;0.7;1;1;1;1
44;0.01;0.02;0.04;0.07;0.35;0.5;0.85;1;1;1;1;1
45;0;0.02;0.04;0.08;0.35;0.5;0.93;0.91;1;1;0.99;1
46;0.01;0.02;0.04;0.08;0.29;0.5;0.93;0.7;1;1;1;1
47;0.01;0.02;0.04;0.07;0.42;0.5;0.81;1;1;1;1;1
48;0;0.02;0.04;0.08;0.18;0.5;0.67;0.91;1;1;1;1
49;0.01;0.02;0.04;0.08;0.35;0.5;0.84;0.7;1;1;1;1
50;0.01;0.02;0.04;0.07;0.35;0.5;0.85;1;1;1;1;1
51;0;0.02;0.04;0.08;0.29;0.5;0.93;0.91;1;1;0.99;1
52;0.01;0.02;0.04;0.08;0.42;0.5;0.93;0.7;1;1;1;1
53;0.01;0.02;0.04;0.07;0.18;0.5;0.81;1;1;1;1;1
54;0;0.02;0.04;0.08;0.35;0.5;0.67;0.91;1;1;1;1
55;0.01;0.02;0.04;0.08;0.35;0.5;0.84;0.7;1;1;1;1
56;0.01;0.02;0.04;0.07;0.29;0.5;0.85;1;1;1;1;1
57;0;0.02;0.04;0.08;0.42;0.5;0.93;0.91;1;1;0.99;1
58;0.01;0.02;0.04;0.08;0.18;0.5;0.93;0.7;1;1;1;1
59;0.01;0.02;0.04;0.07;0.35;0.5;0.81;1;1;1;1;1
60;0;0.02;0.04;0.08;0.35;0.5;0.67;0.91;1;1;1;1
61;0.01;0.02;0.04;0.08;0.29;0.5;0.84;0.7;1;1;1;1
62;0.01;0.02;0.04;0.07;0.42;0.5;0.85;1;1;1;1;1
63;0;0.02;0.04;0.08;0.18;0.5;0.93;0.91;1;1;0.99;1
64;0.01;0.02;0.04;0.08;0.35;0.5;0.93;0.7;1;1;1;1
65;0.01;0.02;0.04;0.07;0.35;0.5;0.81;1;1;1;1;1
66;0;0.02;0.04;0.08;0.29;0.5;0.67;0.91;1;1;1;1
67;0.01;0.02;0.04;0.08;0.42;0.5;0.84;0.7;1;1;1;1
68;0.01;0.02;0.04;0.07;0.18;0.5;0.85;1;1;1;1;1
69;0;0.02;0.04;0.08;0.35;0.5;0.93;0.91;1;1;0.99;1
70;0.01;0.02;0.04;0.08;0.35;0.5;0.93;0.7;1;1;1;1
71;0.01;0.02;0.04;0.07;0.29;0.5;0.81;1;1;1;1;1
72;0;0.02;0.04;0.08;0.42;0.5;0.67;0.91;1;1;1;1
73;0.01;0.02;0.04;0.08;0.18;0.5;0.84;0.7;1;1;1;1
74;0.01;0.02;0.04;0.07;0.35;0.5;0.85;1;1;1;1;1
75;0;0.02;0.04;0.08;0.35;0.5;0.93;0.91;1;1;0.99;1
76;0.01;0.02;0.04;0.08;0.29;0.5;0.93;0.7;1;1;1;1
77;0.01;0.02;0.04;0.07;0.42;0.5;0.81;1;1;1;1;1
78;0;0.02;0.04;0.08;0.18;0.5;0.67;0.91;1;1;1;1
79;0.01;0.02;0.04;0.08;0.35;0.5;0.84;0.7;1;1;1;1
80;0.01;0.02;0.04;0.07;0.35;0.5;0.85;1;1;1;1;1
81;0;0.02;0.04;0.08;0.29;0.5;0.93;0.91;1;1;0.99;1
82;0.01;0.02;0.04;0.08;0.42;0.5;0.93;0.7;1;1;1;1
83;0.01;0.02;0.04;0.07;0.18;0.5;0.81;1;1;1;1;1
84;0;0.02;0.04;0.08;0.35;0.5;0.67;0.91;1;1;1;1
85;0.01;0.02;0.04;0.08;0.35;0.5;0.84;0.7;1;1;1;1
86;0.01;0.02;0.04;0.07;0.29;0.5;0.85;1;1;1;1;1
87;0;0.02;0.04;0.08;0.42;0.5;0.93;0.91;1;1;0.99;1
88;0.01;0.02;0.04;0.08;0.18;0.5;0.93;0.7;1;1;1;1
89;0.01;0.02;0.04;0.07;0.35;0.5;0.81;1;1;1;1;1
90;0;0.02;0.04;0.08;0.35;0.5;0.67;0.91;1;1;1;1
91;0.01;0.02;0.04;0.08;0.29;0.5;0.84;0.7;1;1;1;1
92;0.01;0.02;0.04;0.07;0.42;0.5;0.85;1;1;1;1;1
93;0;0.02;0.04;0.08;0.18;0.5;0.93;0.91;1;1;0.99;1
94;0.01;0.02;0.04;0.08;0.35;0.5;0.93;0.7;1;1;1;1
95;0.01;0.02;0.04;0.07;0.35;0.5;0.81;1;1;1;1;1
96;0;0.02;0.04;0.08;0.29;0.5;0.67;0.91;1;1;1;1
97;0.01;0.02;0.04;0.08;0.42;0.5;0.84;0.7;1;1;1;1
98;0.01;0.02;0.04;0.07;0.18;0.5;0.85;1;1;1;1;1
99;0;0.02;0.04;0.08;0.35;0.5;0.93;0.91;1;1;0.99;1
100;0.01;0.02;0.04;0.08;0.35;0.5;0.93;0.7;1;1;1;1
101;0.01;0.02;0.04;0.07;0.29;0.5;0.81;1;1;1;1;1
102;0;0.02;0.04;0.08;0.42;0.5;0.67;0.91;1;1;1;1
103;0.01;0.02;0.04;0.08;0.18;0.5;0.84;0.7;1;1;1;1
104;0.01;0.02;0.04;0.07;0.35;0.5;0.85;1;1;1;1;1
105;0;0.02;0.04;0.08;0.35;0.5;0.93;0.91;1;1;0.99;1
106;0.01;0.02;0.04;0.08;0.29;0.5;0.93;0.7;1;1;1;1
107;0.01;0.02;0.04;0.07;0.42;0.5;0.81;1;1;1;1;1
108;0;0.02;0.04;0.08;0.18;0.5;0.67;0.91;1;1;1;1
109;0.01;0.02;0.04;0.08;0.35;0.5;0.84;0.7;1;1;1;1
110;0.01;0.02;0.04;0.07;0.35;0.5;0.85;1;1;1;1;1
111;0;0.02;0.04;0.08;0.29;0.5;0.93;0.91;1;1;0.99;1
112;0.01;0.02;0.04;0.08;0.42;0.5;0.93;0.7;1;1;1;1
113;0.01;0.02;0.04;0.07;0.18;0.5;0.81;1;1;1;1;1
114;0;0.02;0.04;0.08;0.35;0.5;0.67;0.91;1;1;1;1
115;0.01;0.02;0.04;0.08;0.35;0.5;0.84;0.7;1;1;1;1
116;0.01;0.02;0.04;0.07;0.29;0.5;0.85;1;1;1;1;1
117;0;0.02;0.04;0.08;0.42;0.5;0.93;0.91;1;1;0.99;1
118;0.01;0.02;0.04;0.08;0.18;0.5;0.93;0.7;1;1;1;1
119;0.01;0.02;0.04;0.07;0.35;0.5;0.81;1;1;1;1;1
120;0;0.02;0.04;0.08;0.35;0.5;0.67;0.91;1;1;1;1
121;0.01;0.02;0.04;0.08;0.29;0.5;0.84;0.7;1;1;1;1
122;0.01;0.02;0.04;0.07;0.42;0.5;0.85;1;1;1;1;1
123;0;0.02;0.04;0.08;0.18;0.5;0.93;0.91;1;1;0.99;1
124;0.01;0.02;0.04;0.08;0.35;0.5;0.93;0.7;1;1;1;1
125;0.01;0.02;0.04;0.07;0.35;0.5;0.81;1;1;1;1;1
126;0;0.02;0.04;0.08;0.29;0.5;0.67;0.91;1;1;1;1
127;0.01;0.02;0.04;0.08;0.42;0.5;0.84;0.7;1;1;1;1
128;0.01;0.02;0.04;0.07;0.18;0.5;0.85;1;1;1;1;1
129;0;0.02;0.04;0.08;0.35;0.5;0.93;0.91;1;1;0.99;1
130;0.01;0.02;0.04;0.08;0.35;0.5;0.93;0.7;1;1;1;1
131;0.01;0.02;0.04;0.07;0.29;0.5;0.81;1;1;1;1;1
132;0;0.02;0.04;0.08;0.42;0.5;0.67;0.91;1;1;1;1
133;0.01;0.02;0.04;0.08;0.18;0.5;0.84;0.7;1;1;1;1
134;0.01;0.02;0.04;0.07;0.35;0.5;0.85;1;1;1;1;1
135;0;0.02;0.04;0.08;0.35;0.5;0.93;0.91;1;1;0.99;1
136;0.01;0.02;0.04;0.08;0.29;0.5;0.93;0.7;1;1;1;1
137;0.01;0.02;0.04;0.07;0.42;0.5;0.81;1;1;1;1;1
138;0;0.02;0.04;0.08;0.18;0.5;0.67;0.91;1;1;1;1
139;0.01;0.02;0.04;0.08;0.35;0.5;0.84;0.7;1;1;1;1
140;0.01;0.02;0.04;0.07;0.35;0.5;0.85;1;1;1;1;1
141;0;0.02;0.04;0.08;0.29;0.5;0.93;0.91;1;1;0.99;1
142;0.01;0.02;0.04;0.08;0.42;0.5;0.93;0.7;1;1;1;1
143;0.01;0.02;0.04;0.07;0.18;0.5;0.81;1;1;1;1;1
144;0;0.02;0.04;0.08;0.35;0.5;0.67;0.91;1;1;1;1
145;0.01;0.02;0.04;0.08;0.35;0.5;0.84;0.7;1;1;1;1
146;0.01;0.02;0.04;0.07;0.29;0.5;0.85;1;1;1;1;1
147;0;0.02;0.04;0.08;0.42;0.5;0.93;0.91;1;1;0.99;1
148;0.01;0.02;0.04;0.08;0.18;0.5;0.93;0.7;1;1;1;1
149;0.01;0.02;0.04;0.07;0.35;0.5;0.81;1;1;1;1;1
150;0;0.02;0.04;0.08;0.35;0.5;0.67;0.91;1;1;1;1
151;0.01;0.02;0.04;0.08;0.29;0.5;0.84;0.7;1;1;1;1
152;0.01;0.02;0.04;0.07;0.42;0.5;0.85;1;1;1;1;1
153;0;0.02;0.04;0.08;0.18;0.5;0.93;0.91;1;1;0.99;1
154;0.01;0.02;0.04;0.08;0.35;0.5;0.93;0.7;1;1;1;1
155;0.01;0.02;0.04;0.07;0.35;0.5;0.81;1;1;1;1;1
156;0;0.02;0.04;0.08;0.29;0.5;0.67;0.91;1;1;1;1
157;0.01;0.02;0.04;0.08;0.42;0.5;0.84;0.7;1;1;1;1
158;0.01;0.02;0.04;0.07;0.18;0.5;0.85;1;1;1;1;1
159;0;0.02;0.04;0.08;0.35;0.5;0.93;0.91;1;1;0.99;1
160;0.01;0.02;0.04;0.08;0.35;0.5;0.93;0.7;1;1;1;1
161;0.01;0.02;0.04;0.07;0.29;0.5;0.81;1;1;1;1;1
162;0;0.02;0.04;0.08;0.42;0.5;0.67;0.91;1;1;1;1
163;0.01;0.02;0.04;0.08;0.18;0.5;0.84;0.7;1;1;1;1
164;0.01;0.02;0.04;0.07;0.35;0.5;0.85;1;1;1;1;1
165;0;0.02;0.04;0.08;0.35;0.5;0.93;0.91;1;1;0.99;1
166;0.01;0.02;0.04;0.08;0.29;0.5;0.93;0.7;1;1;1;1
167;0.01;0.02;0.04;0.07;0.42;0.5;0.81;1;1;1;1;1
168;0;0.02;0.04;0.08;0.18;0.5;0.67;0.91;1;1;1;1
169;0.01;0.02;0.04;0.08;0.35;0.5;0.84;0.7;1;1;1;1
170;0.01;0.02;0.04;0.07;0.35;0.5;0.85;1;1;1;1;1
171;0;0.02;0.04;0.08;0.29;0.5;0.93;0.91;1;1;0.99;1
172;0.01;0.02;0.04;0.08;0.42;0.5;0.93;0.7;1;1;1;1
173;0.01;0.02;0.04;0.07;0.18;0.5;0.81;1;1;1;1;1
174;0;0.02;0.04;0.08;0.35;0.5;0.67;0.91;1;1;1;1
175;0.01;0.02;0.04;0.08;0.35;0.5;0.84;0.7;1;1;1;1
176;0.01;0.02;0.04;0.07;0.29;0.5;0.85;1;1;1;1;1
177;0;0.02;0.04;0.08;0.42;0.5;0.93;0.91;1;1;0.99;1
178;0.01;0.02;0.04;0.08;0.18;0.5;0.93;0.7;1;1;1;1
179;0.01;0.02;0.04;0.07;0.35;0.5;0.81;1;1;1;1;1
180;0;0.02;0.04;0.08;0.35;0.5;0.67;0.91;1;1;1;1
181;0.01;0.02;0.04;0.08;0.29;0.5;0.84;0.7;1;1;1;1
182;0.01;0.02;0.04;0.07;0.42;0.5;0.85;1;1;1;1;1
183;0;0.02;0.04;0.08;0.18;0.5;0.93;0.91;1;1;0.99;1
184;0.01;0.02;0.04;0.08;0.35;0.5;0.93;0.7;1;1;1;1
185;0.01;0.02;0.04;0.07;0.35;0.5;0.81;1;1;1;1;1
186;0;0.02;0.04;0.08;0.29;0.5;0.67;0.91;1;1;1;1
187;0.01;0.02;0.04;0.08;0.42;0.5;0.84;0.7;1;1;1;1
188;0.01;0.02;0.04;0.07;0.18;0.5;0.85;1;1;1;1;1
189;0;0.02;0.04;0.08;0.35;0.5;0.93;0.91;1;1;0.99;1
190;0.01;0.02;0.04;0.08;0.35;0.5;0.93;0.7;1;1;1;1
191;0.01;0.02;0.04;0.07;0.29;0.5;0.81;1;1;1;1;1
192;0;0.02;0.04;0.08;0.42;0.5;0.67;0.91;1;1;1;1
193;0.01;0.02;0.04;0.08;0.18;0.5;0.84;0.7;1;1;1;1
194;0.01;0.02;0.04;0.07;0.35;0.5;0.85;1;1;1;1;1
195;0;0.02;0.04;0.08;0.35;0.5;0.93;0.91;1;1;0.99;1
196;0.01;0.02;0.04;0.08;0.29;0.5;0.93;0.7;1;1;1;1
197;0.01;0.02;0.04;0.07;0.42;0.5;0.81;1;1;1;1;1
198;0;0.02;0.04;0.08;0.18;0.5;0.67;0.91;1;1;1;1
199;0.01;0.02;0.04;0.08;0.35;0.5;0.84;0.7;1;1;1;1
200;0.01;0.02;0.04;0.07;0.35;0.5;0.85;1;1;1;1;1
201;0;0.02;0.04;0.08;0.29;0.5;0.93;0.91;1;1;0.99;1
202;0.01;0.02;0.04;0.08;0.42;0.5;0.93;0.7;1;1;1;1
203;0.01;0.02;0.04;0.07;0.18;0.5;0.81;1;1;1;1;1
204;0;0.02;0.04;0.08;0.35;0.5;0.67;0.91;1;1;1;1
205;0.01;0.02;0.04;0.08;0.35;0.5;0.84;0.7;1;1;1;1
206;0.01;0.02;0.04;0.07;0.29;0.5;0.85;1;1;1;1;1
207;0;0.02;0.04;0.08;0.42;0.5;0.93;0.91;1;1;0.99;1
208;0.01;0.02;0.04;0.08;0.18;0.5;0.93;0.7;1;1;1;1
209;0.01;0.02;0.04;0.07;0.35;0.5;0.81;1;1;1;1;1
210;0;0.02;0.04;0.08;0.35;0.5;0.67;0.91;1;1;1;1
211;0.01;0.02;0.04;0.08;0.29;0.5;0.84;0.7;1;1;1;1
212;0.01;0.02;0.04;0.07;0.42;0.5;0.85;1;1;1;1;1
213;0;0.02;0.04;0.08;0.18;0.5;0.93;0.91;1;1;0.99;1
214;0.01;0.02;0.04;0.08;0.35;0.5;0.93;0.7;1;1;1;1
215;0.01;0.02;0.04;0.07;0.35;0.5;0.81;1;1;1;1;1
216;0;0.02;0.04;0.08;0.29;0.5;0.67;0.91;1;1;1;1
217;0.01;0.02;0.04;0.08;0.42;0.5;0.84;0.7;1;1;1;1
218;0.01;0.02;0.04;0.07;0.18;0.5;0.85;1;1;1;1;1
219;0;0.02;0.04;0.08;0.35;0.5;0.93;0.91;1;1;0.99;1
220;0.01;0.02;0.04;0.08;0.35;0.5;0.93;0.7;1;1;1;1
221;0.01;0.02;0.04;0.07;0.29;0.5;0.81;1;1;1;1;1
222;0;0.02;0.04;0.08;0.42;0.5;0.67;0.91;1;1;1;1
223;0.01;0.02;0.04;0.08;0.18;0.5;0.84;0.7;1;1;1;1
224;0.01;0.02;0.04;0.07;0.35;0.5;0.85;1;1;1;1;1
225;0;0.02;0.04;0.08;0.35;0.5;0.93;0.91;1;1;0.99;1
226;0.01;0.02;0.04;0.08;0.29;0.5;0.93;0.7;1;1;1;1
227;0.01;0.02;0.04;0.07;0.42;0.5;0.81;1;1;1;1;1
228;0;0.02;0.04;0.08;0.18;0.5;0.67;0.91;1;1;1;1
229;0.01;0.02;0.04;0.08;0.35;0.5;0.84;0.7;1;1;1;1
230;0.01;0.02;0.04;0.07;0.35;0.5;0.85;1;1;1;1;1
231;0;0.02;0.04;0.08;0.29;0.5;0.93;0.91;1;1;0.99;1
232;0.01;0.02;0.04;0.08;0.42;0.5;0.93;0.7;1;1;1;1
233;0.01;0.02;0.04;0.07;0.18;0.5;0.81;1;1;1;1;1
234;0;0.02;0.04;0.08;0.35;0.5;0.67;0.91;1;1;1;1
235;0.01;0.02;0.04;0.08;0.35;0.5;0.84;0.7;1;1;1;1
236;0.01;0.02;0.04;0.07;0.29;0.5;0.85;1;1;1;1;1
237;0;0.02;0.04;0.08;0.42;0.5;0.93;0.91;1;1;0.99;1
238;0.01;0.02;0.04;0.08;0.18;0.5;0.93;0.7;1;1;1;1
239;0.01;0.02;0.04;0.07;0.35;0.5;0.81;1;1;1;1;1
240;0;0.02;0.04;0.08;0.35;0.5;0.67;0.91;1;1;1;1
241;0.01;0.02;0.04;0.08;0.29;0.5;0.84;0.7;1;1;1;1
242;0.01;0.02;0.04;0.07;0.42;0.5;0.85;1;1;1;1;1
243;0;0.02;0.04;0.08;0.18;0.5;0.93;0.91;1;1;0.99;1
244;0.01;0.02;0.04;0.08;0.35;0.5;0.93;0.7;1;1;1;1
245;0.01;0.02;0.04;0.07;0.35;0.5;0.81;1;1;1;1;1
246;0;0.02;0.04;0.08;0.29;0.5;0.67;0.91;1;1;1;1
247;0.01;0.02;0.04;0.08;0.42;0.5;0.84;0.7;1;1;1;1
248;0.01;0.02;0.04;0.07;0.18;0.5;0.85;1;1;1;1;1
249;0;0.02;0.04;0.08;0.35;0.5;0.93;0.91;1;1;0.99;1
250;0.01;0.02;0.04;0.08;0.35;0.5;0.93;0.7;1;1;1;1
251;0.01;0.02;0.04;0.07;0.29;0.5;0.81;1;1;1;1;1
252;0;0.02;0.04;0.08;0.42;0.5;0.67;0.91;1;1;1;1
253;0.01;0.02;0.04;0.08;0.18;0.5;0.84;0.7;1;1;1;1
254;0.01;0.02;0.04;0.07;0.35;0.5;0.85;1;1;1;1;1
255;0;0.02;0.04;0.08;0.35;0.5;0.93;0.91;1;1;0.99;1
256;0.01;0.02;0.04;0.08;0.29;0.5;0.93;0.7;1;1;1;1
257;0.01;0.02;0.04;0.07;0.42;0.5;0.81;1;1;1;1;1
258;0;0.02;0.04;0.08;0.18;0.5;0.67;0.91;1;1;1;1
259;0.01;0.02;0.04;0.08;0.35;0.5;0.84;0.7;1;1;1;1
260;0.01;0.02;0.04;0.07;0.35;0.5;0.85;1;1;1;1;1
261;0;0.02;0.04;0.08;0.29;0.5;0.93;0.91;1;1;0.99;1
262;0.01;0.02;0.04;0.08;0.42;0.5;0.93;0.7;1;1;1;1
263;0.01;0.02;0.04;0.07;0.18;0.5;0.81;1;1;1;1;1
264;0;0.02;0.04;0.08;0.35;0.5;0.67;0.91;1;1;1;1
265;0.01;0.02;0.04;0.08;0.35;0.5;0.84;0.7;1;1;1;1
266;0.01;0.02;0.04;0.07;0.29;0.5;0.85;1;1;1;1;1
267;0;0.02;0.04;0.08;0.42;0.5;0.93;0.91;1;1;0.99;1
268;0.01;0.02;0.04;0.08;0.18;0.5;0.93;0.7;1;1;1;1
269;0.01;0.02;0.04;0.07;0.35;0.5;0.81;1;1;1;1;1
270;0;0.02;0.04;0.08;0.35;0.5;0.67;0.91;1;1;1;1
271;0.01;0.02;0.04;0.08;0.29;0.5;0.84;0.7;1;1;1;1
272;0.01;0.02;0.04;0.07;0.42;0.5;0.85;1;1;1;1;1
273;0;0.02;0.04;0.08;0.18;0.5;0.93;0.91;1;1;0.99;1
274;0.01;0.02;0.04;0.08;0.35;0.5;0.93;0.7;1;1;1;1
275;0.01;0.02;0.04;0.07;0.35;0.5;0.81;1;1;1;1;1
276;0;0.02;0.04;0.08;0.29;0.5;0.67;0.91;1;1;1;1
277;0.01;0.02;0.04;0.08;0.42;0.5;0.84;0.7;1;1;1;1
278;0.01;0.02;0.04;0.07;0.18;0.5;0.85;1;1;1;1;1
279;0;0.02;0.04;0.08;0.35;0.5;0.93;0.91;1;1;0.99;1
280;0.01;0.02;0.04;0.08;0.35;0.5;0.93;0.7;1;1;1;1
281;0.01;0.02;0.04;0.07;0.29;0.5;0.81;1;1;1;1;1
282;0;0.02;0.04;0.08;0.42;0.5;0.67;0.91;1;1;1;1
283;0.01;0.02;0.04;0.08;0.18;0.5;0.84;0.7;1;1;1;1
284;0.01;0.02;0.04;0.07;0.35;0.5;0.85;1;1;1;1;1
285;0;0.02;0.04;0.08;0.35;0.5;0.93;0.91;1;1;0.99;1
286;0.01;0.02;0.04;0.08;0.29;0.5;0.93;0.7;1;1;1;1
287;0.01;0.02;0.04;0.07;0.42;0.5;0.81;1;1;1;1;1
288;0;0.02;0.04;0.08;0.18;0.5;0.67;0.91;1;1;1;1
289;0.01;0.02;0.04;0.08;0.35;0.5;0.84;0.7;1;1;1;1
290;0.01;0.02;0.04;0.07;0.35;0.5;0.85;1;1;1;1;1
291;0;0.02;0.04;0.08;0.29;0.5;0.93;0.91;1;1;0.99;1
292;0.01;0.02;0.04;0.08;0.42;0.5;0.93;0.7;1;1;1;1
293;0.01;0.02;0.04;0.07;0.18;0.5;0.81;1;1;1;1;1
294;0;0.02;0.04;0.08;0.35;0.5;0.67;0.91;1;1;1;1
295;0.01;0.02;0.04;0.08;0.35;0.5;0.84;0.7;1;1;1;1
296;0.01;0.02;0.04;0.07;0.29;0.5;0.85;1;1;1;1;1
297;0;0.02;0.04;0.08;0.42;0.5;0.93;0.91;1;1;0.99;1
298;0.01;0.02;0.04;0.08;0.18;0.5;0.93;0.7;1;1;1;1
299;0.01;0.02;0.04;0.07;0.35;0.5;0.81;1;1;1;1;1
300;0;0.02;0.04;0.08;0.35;0.5;0.67;0.91;1;1;1;1
301;0.01;0.02;0.04;0.08;0.29;0.5;0.84;0.7;1;1;1;1
302;0.01;0.02;0.04;0.07;0.42;0.5;0.85;1;1;1;1;1
303;0;0.02;0.04;0.08;0.18;0.5;0.93;0.91;1;1;0.99;1
304;0.01;0.02;0.04;0.08;0.35;0.5;0.93;0.7;1;1;1;1
305;0.01;0.02;0.04;0.07;0.35;0.5;0.81;1;1;1;1;1
306;0;0.02;0.04;0.08;0.29;0.5;0.67;0.91;1;1;1;1
307;0.01;0.02;0.04;0.08;0.42;0.5;0.84;0.7;1;1;1;1
308;0.01;0.02;0.04;0.07;0.18;0.5;0.85;1;1;1;1;1
309;0;0.02;0.04;0.08;0.35;0.5;0.93;0.91;1;1;0.99;1
310;0.01;0.02;0.04;0.08;0.35;0.5;0.93;0.7;1;1;1;1
311;0.01;0.02;0.04;0.07;0.29;0.5;0.81;1;1;1;1;1
312;0;0.02;0.04;0.08;0.42;0.5;0.67;0.91;1;1;1;1
313;0.01;0.02;0.04;0.08;0.18;0.5;0.84;0.7;1;1;1;1
314;0.01;0.02;0.04;0.07;0.35;0.5;0.85;1;1;1;1;1
315;0;0.02;0.04;0.08;0.35;0.5;0.93;0.91;1;1;0.99;1
316;0.01;0.02;0.04;0.08;0.29;0.5;0.93;0.7;1;1;1;1
317;0.01;0.02;0.04;0.07;0.42;0.5;0.81;1;1;1;1;1
318;0;0.02;0.04;0.08;0.18;0.5;0.67;0.91;1;1;1;1
319;0.01;0.02;0.04;0.08;0.35;0.5;0.84;0.7;1;1;1;1
320;0.01;0.02;0.04;0.07;0.35;0.5;0.85;1;1;1;1;1
321;0;0.02;0.04;0.08;0.29;0.5;0.93;0.91;1;1;0.99;1
322;0.01;0.02;0.04;0.08;0.42;0.5;0.93;0.7;1;1;1;1
323;0.01;0.02;0.04;0.07;0.18;0.5;0.81;1;1;1;1;1
324;0;0.02;0.04;0.08;0.35;0.5;0.67;0.91;1;1;1;1
325;0.01;0.02;0.04;0.08;0.35;0.5;0.84;0.7;1;1;1;1
326;0.01;0.02;0.04;0.07;0.29;0.5;0.85;1;1;1;1;1
327;0;0.02;0.04;0.08;0.42;0.5;0.93;0.91;1;1;0.99;1
328;0.01;0.02;0.04;0.08;0.18;0.5;0.93;0.7;1;1;1;1
329;0.01;0.02;0.04;0.07;0.35;0.5;0.81;1;1;1;1;1
330;0;0.02;0.04;0.08;0.35;0.5;0.67;0.91;1;1;1;1
331;0.01;0.02;0.04;0.08;0.29;0.5;0.84;0.7;1;1;1;1
332;0.01;0.02;0.04;0.07;0.42;0.5;0.85;1;1;1;1;1
333;0;0.02;0.04;0.08;0.18;0.5;0.93;0.91;1;1;0.99;1
334;0.01;0.02;0.04;0.08;0.35;0.5;0.93;0.7;1;1;1;1
335;0.01;0.02;0.04;0.07;0.35;0.5;0.81;1;1;1;1;1
336;0;0.02;0.04;0.08;0.29;0.5;0.67;0.91;1;1;1;1
337;0.01;0.02;0.04;0.08;0.42;0.5;0.84;0.7;1;1;1;1
338;0.01;0.02;0.04;0.07;0.18;0.5;0.85;1;1;1;1;1
339;0;0.02;0.04;0.08;0.35;0.5;0.93;0.91;1;1;0.99;1
